Category,Section,Resource Type,Filename,File Location,Full Path,File Size,Scraper Used
Acts & Rules,Prevention of Sexual Harassment,PDF,DoE_Prevention_sexual_harassment.pdf,DoE_Prevention_sexual_harassment.pdf,Acts & Rules/Prevention of Sexual Harassment/DoE_Prevention_sexual_harassment.pdf,371.38 KB,Manual
Acts & Rules,Recruitment Rules,PDF,Recruitment_Rules_for_the_post_of_SrInvestigator.pdf,pdfs/Recruitment_Rules_for_the_post_of_SrInvestigator.pdf,Acts & Rules/Recruitment Rules/pdfs/Recruitment_Rules_for_the_post_of_SrInvestigator.pdf,2646.41 KB,rec_scraper.py
Acts & Rules,Recruitment Rules,PDF,RR_for_senior_Investigator_2019.pdf,pdfs/RR_for_senior_Investigator_2019.pdf,Acts & Rules/Recruitment Rules/pdfs/RR_for_senior_Investigator_2019.pdf,279.54 KB,rec_scraper.py
Acts & Rules,Recruitment Rules,PDF,RR_for_the_post_of_RA_JRA_and_Computor_in_PRU_of_this_departmen.pdf,pdfs/RR_for_the_post_of_RA_JRA_and_Computor_in_PRU_of_this_departmen.pdf,Acts & Rules/Recruitment Rules/pdfs/RR_for_the_post_of_RA_JRA_and_Computor_in_PRU_of_this_departmen.pdf,3744.56 KB,rec_scraper.py
Acts & Rules,Recruitment Rules,PDF,Draft_RRs_SCD.pdf,pdfs/Draft_RRs_SCD.pdf,Acts & Rules/Recruitment Rules/pdfs/Draft_RRs_SCD.pdf,1302.02 KB,rec_scraper.py
Acts & Rules,Recruitment Rules,CSV,recruitment_rules_20251115_175201.csv,output/recruitment_rules_20251115_175201.csv,Acts & Rules/Recruitment Rules/output/recruitment_rules_20251115_175201.csv,1.81 KB,rec_scraper.py
Divisions > Attached-Subordinate Offices,Controller General of Accounts (CGA),CSV,controller_general_accounts_cga_20251115_161742.csv,output/controller_general_accounts_cga_20251115_161742.csv,Divisions/Attached-Subordinate Offices/Controller General of Accounts (CGA)/output/controller_general_accounts_cga_20251115_161742.csv,3.62 KB,cga_scraper.py
Divisions > Attached-Subordinate Offices,Office of Chief Adviser Cost,CSV,office_chief_adviser_cost_20251115_162322.csv,output/office_chief_adviser_cost_20251115_162322.csv,Divisions/Attached-Subordinate Offices/Office of Chief Adviser Cost/output/office_chief_adviser_cost_20251115_162322.csv,6.56 KB,ocac_scraper.py
Divisions > Autonomous Bodies,Autonomous Bodies (General),PDF,autonomous_bodies_Archive_7_12_-E_III_84.pdf,pdfs/autonomous_bodies_Archive_7_12_-E_III_84.pdf,Divisions/Autonomous Bodies/pdfs/autonomous_bodies_Archive_7_12_-E_III_84.pdf,564.60 KB,auto_scraper.py
Divisions > Autonomous Bodies,Autonomous Bodies (General),PDF,autonomous_bodies_Archive_7_23_2008-E_III_A.pdf,pdfs/autonomous_bodies_Archive_7_23_2008-E_III_A.pdf,Divisions/Autonomous Bodies/pdfs/autonomous_bodies_Archive_7_23_2008-E_III_A.pdf,354.99 KB,auto_scraper.py
Divisions > Autonomous Bodies,Autonomous Bodies (General),PDF,autonomous_bodies_Archive_6_3_-IC_95.pdf,pdfs/autonomous_bodies_Archive_6_3_-IC_95.pdf,Divisions/Autonomous Bodies/pdfs/autonomous_bodies_Archive_6_3_-IC_95.pdf,250.43 KB,auto_scraper.py
Divisions > Autonomous Bodies,Autonomous Bodies (General),PDF,autonomous_bodies_Archive_7_34_E-III_A_97.pdf,pdfs/autonomous_bodies_Archive_7_34_E-III_A_97.pdf,Divisions/Autonomous Bodies/pdfs/autonomous_bodies_Archive_7_34_E-III_A_97.pdf,309.60 KB,auto_scraper.py
Divisions > Autonomous Bodies,Autonomous Bodies (General),PDF,autonomous_bodies_Active_1_1_2016-E_IIIA.pdf,pdfs/autonomous_bodies_Active_1_1_2016-E_IIIA.pdf,Divisions/Autonomous Bodies/pdfs/autonomous_bodies_Active_1_1_2016-E_IIIA.pdf,559.58 KB,auto_scraper.py
Divisions > Autonomous Bodies,Autonomous Bodies (General),CSV,autonomous_bodies_pay_related_20251115_162817.csv,output/autonomous_bodies_pay_related_20251115_162817.csv,Divisions/Autonomous Bodies/output/autonomous_bodies_pay_related_20251115_162817.csv,5.31 KB,auto_scraper.py
Divisions > Autonomous Bodies,AJNIFM,CSV,nifm_national_institute_financial_management_20251115_163901.csv,output/nifm_national_institute_financial_management_20251115_163901.csv,Divisions/Autonomous Bodies/Arun Jaitley National Institute of Financial Management (AJNIFM)/output/nifm_national_institute_financial_management_20251115_163901.csv,5.25 KB,ajnifm_scraper.py
Divisions,Integrated Finance Division,CSV,integrated_finance_division_20251115_154423.csv,output/integrated_finance_division_20251115_154423.csv,Divisions/Integrated Finance Division/output/integrated_finance_division_20251115_154423.csv,2.73 KB,ifd_scraper.py
Divisions,Office of Chief Adviser Cost,CSV,office_chief_adviser_cost_menu_20251115_165440.csv,output/office_chief_adviser_cost_menu_20251115_165440.csv,Divisions/Office of Chief Adviser Cost/output/office_chief_adviser_cost_menu_20251115_165440.csv,4.51 KB,ocac_scraper.py
Divisions,Personnel and Establishment Division (Main),CSV,divisions_personnel_establishment_20251115_140130.csv,output/divisions_personnel_establishment_20251115_140130.csv,Divisions/Personnel and Establishment Division/output/divisions_personnel_establishment_20251115_140130.csv,2.89 KB,PandE_scraper.py
Divisions > Personnel and Establishment,Administration,CSV,administration_i_20251115_141029.csv,output/administration_i_20251115_141029.csv,Divisions/Personnel and Establishment Division/Administration/output/administration_i_20251115_141029.csv,25.17 KB,admin_scraper.py
Divisions > Personnel and Establishment,Cadre Administaration Section,CSV,cadre_administration_section_20251115_142854.csv,output/cadre_administration_section_20251115_142854.csv,Divisions/Personnel and Establishment Division/Cadre Administaration Section/output/cadre_administration_section_20251115_142854.csv,3.72 KB,cas_scraper.py
Divisions > Personnel and Establishment,Establishment Coordination,CSV,establishment_coordination_general_20251115_150218.csv,output/establishment_coordination_general_20251115_150218.csv,Divisions/Personnel and Establishment Division/Establishment Coordination/output/establishment_coordination_general_20251115_150218.csv,3.71 KB,ec_scraper.py
Divisions > Personnel and Establishment,Establishment Coordination-I,CSV,establishment_coordination_personnel_20251115_141552.csv,output/establishment_coordination_personnel_20251115_141552.csv,Divisions/Personnel and Establishment Division/Establishment Coordination-I/output/establishment_coordination_personnel_20251115_141552.csv,1.22 KB,ec_scraper.py
Divisions > Personnel and Establishment,Establishment General Section,CSV,establishment_general_section_20251115_143125.csv,output/establishment_general_section_20251115_143125.csv,Divisions/Personnel and Establishment Division/Establishment General Section/output/establishment_general_section_20251115_143125.csv,1.95 KB,egs_scraper.py
Divisions > Personnel and Establishment,Establishment II A,CSV,establishment_ii_a_20251115_145309.csv,output/establishment_ii_a_20251115_145309.csv,Divisions/Personnel and Establishment Division/Establishment II A/output/establishment_ii_a_20251115_145309.csv,3.52 KB,e2a_scraper.py
Divisions > Personnel and Establishment,Establishment II B,CSV,establishment_ii_b_20251115_150456.csv,output/establishment_ii_b_20251115_150456.csv,Divisions/Personnel and Establishment Division/Establishment II B/output/establishment_ii_b_20251115_150456.csv,4.25 KB,e2b_scraper.py
Divisions > Personnel and Establishment,Establishment III A,CSV,establishment_iii_20251115_141834.csv,output/establishment_iii_20251115_141834.csv,Divisions/Personnel and Establishment Division/Establishment III A/output/establishment_iii_20251115_141834.csv,2.29 KB,est3a_scraper.py
