section_type,section_name,element_type,title,content,url,image_url,pdf_url,local_image_path,local_pdf_path
Breadcrumb,Navigation Path,Breadcrumb,Home > Divisions > Office of Chief Adviser Cost,Home > Divisions > Office of Chief Adviser Cost,https://doe.gov.in/office-chief-adviser-cost-0,,,,
Page Title,Main Heading,H1 Title,Office of Chief Adviser Cost,Office of Chief Adviser Cost,https://doe.gov.in/office-chief-adviser-cost-0,,,,
Menu,Office of Chief Adviser Cost,Link,ICoAS Formation Day,https://doe.gov.in/icoas-formation-day,https://doe.gov.in/office-chief-adviser-cost-0,,,,
Menu,Office of Chief Adviser Cost,Menu Entry,Menu item 1,ICoAS Formation Day,https://doe.gov.in/icoas-formation-day,,,,
Menu,Office of Chief Adviser Cost,Link,ICoAS Service Day,https://doe.gov.in/icoas-service-day,https://doe.gov.in/office-chief-adviser-cost-0,,,,
Menu,Office of Chief Adviser Cost,Menu Entry,Menu item 2,ICoAS Service Day,https://doe.gov.in/icoas-service-day,,,,
Menu,Office of Chief Adviser Cost,Link,Promotion/Transfer Order,https://doe.gov.in/promotiontransfer-order,https://doe.gov.in/office-chief-adviser-cost-0,,,,
Menu,Office of Chief Adviser Cost,Menu Entry,Menu item 3,Promotion/Transfer Order,https://doe.gov.in/promotiontransfer-order,,,,
Menu,Office of Chief Adviser Cost,Link,Allocation of Business,https://doe.gov.in/allocation-business,https://doe.gov.in/office-chief-adviser-cost-0,,,,
Menu,Office of Chief Adviser Cost,Menu Entry,Menu item 4,Allocation of Business,https://doe.gov.in/allocation-business,,,,
Menu,Office of Chief Adviser Cost,Link,ICoAS Officers Role in Participating Offices,https://doe.gov.in/icoas-officers-role-participating-offices,https://doe.gov.in/office-chief-adviser-cost-0,,,,
Menu,Office of Chief Adviser Cost,Menu Entry,Menu item 5,ICoAS Officers Role in Participating Offices,https://doe.gov.in/icoas-officers-role-participating-offices,,,,
Menu,Office of Chief Adviser Cost,Link,Procedure For Referring Cases,https://doe.gov.in/procedure-referring-cases,https://doe.gov.in/office-chief-adviser-cost-0,,,,
Menu,Office of Chief Adviser Cost,Menu Entry,Menu item 6,Procedure For Referring Cases,https://doe.gov.in/procedure-referring-cases,,,,
Menu,Office of Chief Adviser Cost,Link,Major Studies Undertaken by O/o Chief Adviser Cost (CAC),https://doe.gov.in/major-studies-undertaken,https://doe.gov.in/office-chief-adviser-cost-0,,,,
Menu,Office of Chief Adviser Cost,Menu Entry,Menu item 7,Major Studies Undertaken by O/o Chief Adviser Cost (CAC),https://doe.gov.in/major-studies-undertaken,,,,
Menu,Office of Chief Adviser Cost,Link,Transfer & Deputaion,https://doe.gov.in/transfer-deputaion,https://doe.gov.in/office-chief-adviser-cost-0,,,,
Menu,Office of Chief Adviser Cost,Menu Entry,Menu item 8,Transfer & Deputaion,https://doe.gov.in/transfer-deputaion,,,,
Menu,Office of Chief Adviser Cost,Link,Online APAR System (SPARROW),https://doe.gov.in/online-apar-system-sparrow,https://doe.gov.in/office-chief-adviser-cost-0,,,,
Menu,Office of Chief Adviser Cost,Menu Entry,Menu item 9,Online APAR System (SPARROW),https://doe.gov.in/online-apar-system-sparrow,,,,
Menu,Office of Chief Adviser Cost,Link,Annual Property Return,https://doe.gov.in/annual-property-return,https://doe.gov.in/office-chief-adviser-cost-0,,,,
Menu,Office of Chief Adviser Cost,Menu Entry,Menu item 10,Annual Property Return,https://doe.gov.in/annual-property-return,,,,
Menu,Office of Chief Adviser Cost,Link,ICoAS Rules & Circulars,https://doe.gov.in/icoas-rules-circulars,https://doe.gov.in/office-chief-adviser-cost-0,,,,
Menu,Office of Chief Adviser Cost,Menu Entry,Menu item 11,ICoAS Rules & Circulars,https://doe.gov.in/icoas-rules-circulars,,,,
Menu,Office of Chief Adviser Cost,Link,Er-Sheets,https://doe.gov.in/er-sheets-0,https://doe.gov.in/office-chief-adviser-cost-0,,,,
Menu,Office of Chief Adviser Cost,Menu Entry,Menu item 12,Er-Sheets,https://doe.gov.in/er-sheets-0,,,,
Menu,Office of Chief Adviser Cost,Link,Civil List,https://doe.gov.in/civil-list,https://doe.gov.in/office-chief-adviser-cost-0,,,,
Menu,Office of Chief Adviser Cost,Menu Entry,Menu item 13,Civil List,https://doe.gov.in/civil-list,,,,
Menu,Office of Chief Adviser Cost,Link,Brochure of CAC,https://doe.gov.in/brochure-cac,https://doe.gov.in/office-chief-adviser-cost-0,,,,
Menu,Office of Chief Adviser Cost,Menu Entry,Menu item 14,Brochure of CAC,https://doe.gov.in/brochure-cac,,,,
Menu,Office of Chief Adviser Cost,Link,Archive,https://doe.gov.in/archive,https://doe.gov.in/office-chief-adviser-cost-0,,,,
Menu,Office of Chief Adviser Cost,Menu Entry,Menu item 15,Archive,https://doe.gov.in/archive,,,,
