section_type,section_name,element_type,title,content,url,image_url,pdf_url,local_image_path,local_pdf_path
Breadcrumb,Navigation Path,Breadcrumb,Home > Divisions > Personnel and Establishment Division > Administration,Home > Divisions > Personnel and Establishment Division > Administration,https://doe.gov.in/administration-i,,,,
Page Title,Main Heading,H1 Title,Administration,Administration,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Section Heading,Accounts and Budget Branch,Accounts and Budget Branch,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 1,Preparation of Pay Bills of all employees of Department of Expenditure.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 2,Preparation of T.A. Bills (Foreign and Domestic) on tours/transfer.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 3,Preparation of OTA Bills.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 4,"Preparation of Medical, Tuition fees and Budget Honorarium Bills.",https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 5,"Preparation of Loans and Advances Bills like House Building Advance, Flood relief etc.",https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 6,Preparation of contingent bills of the Department of Expenditure.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 7,Preparation of Entertainment and Hospitality and Professional/Special Service bills.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 8,Preparation of Publication bills.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 9,Preparation of air-fare bills and their settlement.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 10,Preparation of LTC Advance and Final Adjustment Bills.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 11,Preparation of conveyance Bills.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 12,Disbursement of Pay and Allowances every month including daily payment of supplementary and contingent bills.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 13,Writing of Cash Book and check thereof.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 14,Sending of Salary to the Bank for disbursement through ECS.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 15,Preparation of Grants-in-aid Bills.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 16,Maintenance of GPF Accounts of all classes and calculation of interest accrued thereon.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 17,Issue of GPF statements at the close of each financial year.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 18,Final Payment of GPF balance to subscribers at the time of retirement.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 19,Transfer of GPF Accounts on transfer of officers/officials to other departments.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 20,Calculation of Income-Tax liability of the officers/ officials.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 21,Filing of Quarterly TDS returns with the Income Tax Department.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 22,Maintenance of Court attachment orders and payment to the courts concerned.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 23,Preparation of challans in respects of miscellaneous amounts deposited into the Government Account.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 24,Proper up-keep of all accounts/advance registers.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 25,Effective recoveries of various co-operative Societies & Finance Stores.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 26,"Benevolent fund, Co-operative Stores and miscellaneous ones.",https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 27,Maintenance of Accounting of House Building/Motor Conveyance advances etc.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 28,"Calculation of Interest on Loans and Advances granted to the officers and staff of this Department for Expenditure for the purpose of House Building, Motor Cars/Scooters/Cycles and other interest bearing advances i.e. Computers etc.",https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 29,Miscellaneous Work.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 30,Issue of Income-tax Certificates (Form 16 etc.),https://doe.gov.in/administration-i,,,,
