section_type,section_name,element_type,title,content,url,image_url,pdf_url,local_image_path,local_pdf_path
Breadcrumb,Navigation Path,Breadcrumb,Home > Divisions > Personnel and Establishment Division > Cadre Administaration Section,Home > Divisions > Personnel and Establishment Division > Cadre Administaration Section,https://doe.gov.in/cadre-administaration-section,,,,
Page Title,Main Heading,H1 Title,Cadre Administaration Section,Cadre Administaration Section,https://doe.gov.in/cadre-administaration-section,,,,
Divisions,Cadre Administration Section,Bullet Point,Cadre Administration Section - Point 1,"Reporting of vacancies in respect of all 5 Departments of Ministry of Finance, in CSS(upto SO)/CSCS/CSSS grades to DOPT.",https://doe.gov.in/cadre-administaration-section,,,,
Divisions,Cadre Administration Section,Bullet Point,Cadre Administration Section - Point 2,"Appointment, ad-hoc promotion and regular promotion in CSS(upto SO)/CSCS/CSSS cadres.",https://doe.gov.in/cadre-administaration-section,,,,
Divisions,Cadre Administration Section,Bullet Point,Cadre Administration Section - Point 3,Convening DPCs for confirmation of Direct Recruitment ASO & Stenographers grade 'D'.,https://doe.gov.in/cadre-administaration-section,,,,
Divisions,Cadre Administration Section,Bullet Point,Cadre Administration Section - Point 4,Internal Departmental Transfer/posting of officers/officials of CSS(upto SO)/CSCS/CSSS cadres.,https://doe.gov.in/cadre-administaration-section,,,,
Divisions,Cadre Administration Section,Bullet Point,Cadre Administration Section - Point 5,Nomination of fresh ASO & Stenographers grade 'D' and SOs & PS who joins on the basis of Limited Departmental Competitive Exam in all five Departments of Ministry of Finance as and when provided by DOPT.,https://doe.gov.in/cadre-administaration-section,,,,
Divisions,Cadre Administration Section,Bullet Point,Cadre Administration Section - Point 6,"Convening DPCs for promotion in respect of SOs, ASOs, PSs, PAs, SSAs, JSAs.",https://doe.gov.in/cadre-administaration-section,,,,
Divisions,Cadre Administration Section,Bullet Point,Cadre Administration Section - Point 7,UP-dation of vacancy position and maintenance of seniority lists in respect of (SO & Assistant SO) in CSS/CSSS/CSCS(JSA&SSA)/MTS of Ministry of Finance.,https://doe.gov.in/cadre-administaration-section,,,,
Divisions,Cadre Administration Section,Bullet Point,Cadre Administration Section - Point 8,"Cadre Clearance in respect of CSS(upto SO)/CSCS/CSSS grades for ex-cadre posts & for taking VRS, Technical Resignation etc.",https://doe.gov.in/cadre-administaration-section,,,,
Divisions,Cadre Administration Section,Bullet Point,Cadre Administration Section - Point 9,En-cadrement of posts in respect of CSS(SO & ASO)/CSSS.,https://doe.gov.in/cadre-administaration-section,,,,
Divisions,Cadre Administration Section,Bullet Point,Cadre Administration Section - Point 10,To serve training notice in respect of CSS(SO & ASO)/CSCS(JSA &SSA)/CSSS on nomination by DOPT.,https://doe.gov.in/cadre-administaration-section,,,,
Divisions,Cadre Administration Section,Bullet Point,Cadre Administration Section - Point 11,RTI matters/VIP references/Parliament Question/Public Grievances/Court Cases relating to above subjects.,https://doe.gov.in/cadre-administaration-section,,,,
Divisions,Cadre Administration Section,Bullet Point,Cadre Administration Section - Point 12,"Being the Nodal Section of Ministry of Finance, Co-ordination with DOPT in all aspects related with appointment, promotion, vacancy etc.",https://doe.gov.in/cadre-administaration-section,,,,
Divisions,Cadre Administration Section,Bullet Point,Cadre Administration Section - Point 13,Charge of Reference Library in Department of Expenditure.,https://doe.gov.in/cadre-administaration-section,,,,
