section_type,section_name,element_type,title,content,url,image_url,pdf_url,local_image_path,local_pdf_path
Breadcrumb,Navigation Path,Breadcrumb,Home > Divisions > Personnel and Establishment Division > Establishment Coordination,Home > Divisions > Personnel and Establishment Division > Establishment Coordination,https://doe.gov.in/establishment-coordination-general,,,,
Page Title,Main Heading,H1 Title,Establishment Coordination,Establishment Coordination,https://doe.gov.in/establishment-coordination-general,,,,
Divisions,Establishment Coordination,Section Heading,Establishment Coordination,Establishment Coordination,https://doe.gov.in/establishment-coordination-general,,,,
Divisions,Establishment Coordination,Bullet Point,Establishment Coordination - Point 1,"Policy on economy issues relating to provision of residential / office telephone, purchase of vehicles, holding of domestic and international conferences, entertainment, limit on expenditure on furnishing etc in the case of Minister's office in the secretariat and office at the residence.",https://doe.gov.in/establishment-coordination-general,,,,
Divisions,Establishment Coordination,Bullet Point,Establishment Coordination - Point 2,Miscellaneous policy issues which are not specifically dealt with in any other division of Department of Expenditure.,https://doe.gov.in/establishment-coordination-general,,,,
Divisions,Establishment Coordination,Bullet Point,Establishment Coordination - Point 3,Allocation of temporary / link / additional charge to FAs and Coordination in respect of FAs meetings with Secretary(E)/ FM.,https://doe.gov.in/establishment-coordination-general,,,,
Divisions,Establishment Coordination,Bullet Point,Establishment Coordination - Point 4,Forwarding of important orders/instructions received from Cabinet Secretariat to heads of Division/ FAs.,https://doe.gov.in/establishment-coordination-general,,,,
Divisions,Establishment Coordination,Bullet Point,Establishment Coordination - Point 5,Matters relating to ERC recommendations.,https://doe.gov.in/establishment-coordination-general,,,,
Divisions,Establishment Coordination,Bullet Point,Establishment Coordination - Point 6,"Examination of legislative proposals of various Ministries, involving general financial Implications/ DCN.",https://doe.gov.in/establishment-coordination-general,,,,
Divisions,Establishment Coordination,Bullet Point,Establishment Coordination - Point 7,The work relating to coordination on issues relating to all the Departments of Ministry of Finance.,https://doe.gov.in/establishment-coordination-general,,,,
Divisions,Establishment Coordination,Bullet Point,Establishment Coordination - Point 8,Submission of Reports to Cabinet Secretariat such as monthly report on decisions of Cabinet/ Cabinet Committees; quarterly reports on decisions of High Power Committees/ Commission; monthly D.O letter from Secretary (Expenditure) to Cabinet Secretary.,https://doe.gov.in/establishment-coordination-general,,,,
Divisions,Establishment Coordination,Bullet Point,Establishment Coordination - Point 9,General coordination in DoE such as Annual Report etc.,https://doe.gov.in/establishment-coordination-general,,,,
Divisions,Establishment Coordination,Bullet Point,Establishment Coordination - Point 10,Nomination of representatives of the MOF to autonomous bodies.,https://doe.gov.in/establishment-coordination-general,,,,
Divisions,Establishment Coordination,Bullet Point,Establishment Coordination - Point 11,Deputation/Delegation abroad (Screening Committee proposals),https://doe.gov.in/establishment-coordination-general,,,,
Divisions,Establishment Coordination,Bullet Point,Establishment Coordination - Point 12,Matters relating to Public Accounts Committee.,https://doe.gov.in/establishment-coordination-general,,,,
