section_type,section_name,element_type,title,content,url,image_url,pdf_url,local_image_path,local_pdf_path
Breadcrumb,Navigation Path,Breadcrumb,Home > Divisions > Personnel and Establishment Division > Establishment II A,Home > Divisions > Personnel and Establishment Division > Establishment II A,https://doe.gov.in/establishment-ii,,,,
Page Title,Main Heading,H1 Title,Establishment II A,Establishment II A,https://doe.gov.in/establishment-ii,,,,
Divisions,Establishment II A,Section Heading,Establishment II A,Establishment II A,https://doe.gov.in/establishment-ii,,,,
Divisions,Establishment II A,Bullet Point,Establishment II A - Point 1,"Administration of Delegation of Financial Powers Rules, 1978.",https://doe.gov.in/establishment-ii,,,,
Divisions,Establishment II A,Bullet Point,Establishment II A - Point 2,"Administration of General Financial Rules, 2017 except : xi) Budget formulation and implementation xii) Govt. Accounts xiii) Works, Budgeting and Accounting for Externally Aided Projects xiv) Government Guarantees xv) Establishment Rules xvi) Refund of revenue xvii) Debt and miscellaneous obligations of Govt. Charitable endowments and other trusts, Local Bodies xviii) Destruction of records connected with Accounts xix) Policies and matters relating to public procurement including administration of GFR on procurement of goods and services and contract management. xx) All related matter on Public Procurement (These would be dealt by the concerned nodal/administrative Ministries/Department/Organizations )",https://doe.gov.in/establishment-ii,,,,
Divisions,Establishment II A,Bullet Point,Establishment II A - Point 3,Proposals requiring approval of Cabinet Committee on Security w.r.t. all Ministries / Department except MHA.,https://doe.gov.in/establishment-ii,,,,
Divisions,Establishment II A,Bullet Point,Establishment II A - Point 4,Proposals relating to policies concerning Defence Procurements.,https://doe.gov.in/establishment-ii,,,,
Divisions,Establishment II A,Bullet Point,Establishment II A - Point 5,"Proposal pertaining to Department of Space, Department of Atomic Energy and NTRO.",https://doe.gov.in/establishment-ii,,,,
Divisions,Establishment II A,Bullet Point,Establishment II A - Point 6,Staff Cars Rules.,https://doe.gov.in/establishment-ii,,,,
Divisions,Establishment II A,Bullet Point,Establishment II A - Point 7,Laptop cases.,https://doe.gov.in/establishment-ii,,,,
Divisions,Establishment II A,Bullet Point,Establishment II A - Point 8,Proposals requiring approval of Committee on Establishment Expenditure (CEE) meetings.,https://doe.gov.in/establishment-ii,,,,
Divisions,Establishment II A,Bullet Point,Establishment II A - Point 9,Rules on Advances to Government Servants except HBA.,https://doe.gov.in/establishment-ii,,,,
Divisions,Establishment II A,Bullet Point,Establishment II A - Point 10,Proposals from Ministry of Defence for sanction of schemes/ projects/ acquisitions of non scaled and new items requiring FM’s/ Cabinet approval.,https://doe.gov.in/establishment-ii,,,,
Divisions,Establishment II A,Bullet Point,Establishment II A - Point 11,"M/o Urban Development proposals for land rates, transfer of land etc.",https://doe.gov.in/establishment-ii,,,,
Divisions,Establishment II A,Bullet Point,Establishment II A - Point 12,Re-appropriation of funds for augmentation of Establishment related items of expenditure.,https://doe.gov.in/establishment-ii,,,,
Divisions,Establishment II A,Bullet Point,Establishment II A - Point 13,Parliament Questions / RTI Matters relating to above subjects.,https://doe.gov.in/establishment-ii,,,,
