section_type,section_name,element_type,title,content,url,image_url,pdf_url,local_image_path,local_pdf_path
Breadcrumb,Navigation Path,Breadcrumb,Home > Divisions > Personnel and Establishment Division > Establishment III A,Home > Divisions > Personnel and Establishment Division > Establishment III A,https://doe.gov.in/establishment-iii,,,,
Page Title,Main Heading,H1 Title,Establishment III A,Establishment III A,https://doe.gov.in/establishment-iii,,,,
Divisions,Establishment III A,Bullet Point,Establishment III A - Point 1,Matters relating to constitution of Central Pay Commission.,https://doe.gov.in/establishment-iii,,,,
Divisions,Establishment III A,Bullet Point,Establishment III A - Point 2,Policy matters on Pay related issue connected with Central Civil Service(Revised Pay) Rules.,https://doe.gov.in/establishment-iii,,,,
Divisions,Establishment III A,Bullet Point,Establishment III A - Point 3,"Matters relating to PLB, Non-PLB (Ad-hoc) Bonus.",https://doe.gov.in/establishment-iii,,,,
Divisions,Establishment III A,Bullet Point,Establishment III A - Point 4,Matters relating to consolidated pay package in respect of Chairman/Members of regulatory Bodies.,https://doe.gov.in/establishment-iii,,,,
Divisions,Establishment III A,Bullet Point,Establishment III A - Point 5,Matters relating to compensatory overtime allowances for budget work.,https://doe.gov.in/establishment-iii,,,,
Divisions,Establishment III A,Bullet Point,Establishment III A - Point 6,Training Allowance to faculties engaged in training/teaching in the Training Institutes.,https://doe.gov.in/establishment-iii,,,,
Divisions,Establishment III A,Bullet Point,Establishment III A - Point 7,Coordination of matters relating to National Council (JCM) Department of Personnel and Training in so far as it concerns Department of Expenditure.,https://doe.gov.in/establishment-iii,,,,
Divisions,Establishment III A,Bullet Point,Establishment III A - Point 8,Policy issues on the following matters dealt with by other Ministries/Department: i) DACP/No-practicing Allowance. ii) UGC/AICTE pay scales and school teacher pay scales. iii) Flexible complementing scheme and merit promotion scheme. iv) FPA v) Grant of qualification pay or incentive on passing Department Examination/requiring higher qualification. vi) ACP/MACP.,https://doe.gov.in/establishment-iii,,,,
