section_type,section_name,element_type,title,content,url,image_url,pdf_url,local_image_path,local_pdf_path
Breadcrumb,Navigation Path,Breadcrumb,Home > Divisions > Personnel and Establishment Division > Establishment III Desk,Home > Divisions > Personnel and Establishment Division > Establishment III Desk,https://doe.gov.in/establishment-iii-desk,,,,
Page Title,Main Heading,H1 Title,Establishment III Desk,Establishment III Desk,https://doe.gov.in/establishment-iii-desk,,,,
Divisions,Establishment III Desk,Section Heading,Establishment III Desk,Establishment III Desk,https://doe.gov.in/establishment-iii-desk,,,,
Divisions,Establishment III Desk,Bullet Point,Establishment III Desk - Point 1,"Cadre Review of all AIS Services/IAS,IPS,IFoS – proposals received through DOPT.",https://doe.gov.in/establishment-iii-desk,,,,
Divisions,Establishment III Desk,Bullet Point,Establishment III Desk - Point 2,Restructuring/Cadre Review of all Group ‘A’ organized services.,https://doe.gov.in/establishment-iii-desk,,,,
Divisions,Establishment III Desk,Bullet Point,Establishment III Desk - Point 3,Restructuring/Cadre Review of all civilian Group ‘A’ services.,https://doe.gov.in/establishment-iii-desk,,,,
Divisions,Establishment III Desk,Bullet Point,Establishment III Desk - Point 4,Restructuring/Cadre Review of all civilian Group ‘B’ & ‘C’ services.,https://doe.gov.in/establishment-iii-desk,,,,
Divisions,Establishment III Desk,Bullet Point,Establishment III Desk - Point 5,Restructuring/Cadre Review of all Defence Group ‘B’ &’C’ services.,https://doe.gov.in/establishment-iii-desk,,,,
Divisions,Establishment III Desk,Bullet Point,Establishment III Desk - Point 6,Restructuring/Cadre Review of all CAPFs Group ‘B’& ‘C’ services.,https://doe.gov.in/establishment-iii-desk,,,,
Divisions,Establishment III Desk,Bullet Point,Establishment III Desk - Point 7,Policy matters relating to cadre review/restructuring.,https://doe.gov.in/establishment-iii-desk,,,,
Divisions,Establishment III Desk,Bullet Point,Establishment III Desk - Point 8,Formation of new cadres/services under Govt. Of India.,https://doe.gov.in/establishment-iii-desk,,,,
Divisions,Establishment III Desk,Bullet Point,Establishment III Desk - Point 9,Court Cases relating to above subjects.,https://doe.gov.in/establishment-iii-desk,,,,
Divisions,Establishment III Desk,Bullet Point,Establishment III Desk - Point 10,"RTI/Appeal matters under RTI Act, 2005 on the above subjects.",https://doe.gov.in/establishment-iii-desk,,,,
Divisions,Establishment III Desk,Bullet Point,Establishment III Desk - Point 11,Parliament Questions relating to above subjects.,https://doe.gov.in/establishment-iii-desk,,,,
Divisions,Establishment III Desk,Bullet Point,Establishment III Desk - Point 12,Other Miscellaneous Works relating to review of report of Group of Secretaries and Monitoring of FM’s Budget Speech.,https://doe.gov.in/establishment-iii-desk,,,,
