section_type,section_name,element_type,title,content,url,image_url,pdf_url,local_image_path,local_pdf_path
Breadcrumb,Navigation Path,Breadcrumb,Home > Divisions > Personnel and Establishment Division > Establishment IV,Home > Divisions > Personnel and Establishment Division > Establishment IV,https://doe.gov.in/establishment-iv,,,,
Page Title,Main Heading,H1 Title,Establishment IV,Establishment IV,https://doe.gov.in/establishment-iv,,,,
Divisions,Establishment IV,Section Heading,Establishment IV,Establishment IV,https://doe.gov.in/establishment-iv,,,,
Divisions,Establishment IV,Bullet Point,Establishment IV - Point 1,"Revision, codification and clarification on Travelling Allowance/Daily Allowance Rules/Conveyance Allowance.",https://doe.gov.in/establishment-iv,,,,
Divisions,Establishment IV,Bullet Point,Establishment IV - Point 2,"Policy matter relating to Leave Travel Concession, Air Travel.",https://doe.gov.in/establishment-iv,,,,
Divisions,Establishment IV,Bullet Point,Establishment IV - Point 3,"Proposal relating to various Allowances vig. Dress Allowance, Outfit Allowances to the employees of Ministry of External Affairs, Hospital Patient care Allowance, Nursing Allowance, PG Allowance, Book Allowance, Annual Allowance, Language allowance to the staff working in foreign post, Rummage Allowance to the custom staff.",https://doe.gov.in/establishment-iv,,,,
Divisions,Establishment IV,Bullet Point,Establishment IV - Point 4,Relaxation of Air Travel guidelines/ where air ticket is purchased from unauthorized agent.,https://doe.gov.in/establishment-iv,,,,
Divisions,Establishment IV,Bullet Point,Establishment IV - Point 5,Revision of salary and allowances of President/Vice-President/ Ministers/ Member of Parliament/ Governor of States/ Administrator/ lieutenant Governors of Union Terrorists/ Advisors to Governors.,https://doe.gov.in/establishment-iv,,,,
Divisions,Establishment IV,Bullet Point,Establishment IV - Point 6,"Revision of salary, allowances and pension in r/o serving Judges of Supreme Court/ High Courts.",https://doe.gov.in/establishment-iv,,,,
Divisions,Establishment IV,Bullet Point,Establishment IV - Point 7,Honorarium/Sitting Fee to Chairman/Members (Non-official) in Commissions/committees/Borders/Panels etc.,https://doe.gov.in/establishment-iv,,,,
Divisions,Establishment IV,Bullet Point,Establishment IV - Point 8,Terms and Conditions of appointment of Retd. Judges/Retd. Govt. officials/ Non officials (Chairperson/Member) in Commissions/Committees/Boards/Panels etc.,https://doe.gov.in/establishment-iv,,,,
Divisions,Establishment IV,Bullet Point,Establishment IV - Point 9,"Matter relating to Ex-India Leave, Journey during Leave.",https://doe.gov.in/establishment-iv,,,,
Divisions,Establishment IV,Bullet Point,Establishment IV - Point 10,"RTI Matters/ Appeal, Parliament Question, VIP Reference.",https://doe.gov.in/establishment-iv,,,,
