section_type,section_name,element_type,title,content,url,image_url,pdf_url,local_image_path,local_pdf_path
Breadcrumb,Navigation Path,Breadcrumb,Home > Divisions > Personnel and Establishment Division > Hindi Section,Home > Divisions > Personnel and Establishment Division > Hindi Section,https://doe.gov.in/hindi-section,,,,
Page Title,Main Heading,H1 Title,Hindi Section,Hindi Section,https://doe.gov.in/hindi-section,,,,
Divisions,Hindi Section,Section Heading,Hindi Section,Hindi Section,https://doe.gov.in/hindi-section,,,,
Divisions,Hindi Section,Bullet Point,Hindi Section - Point 1,"Implementation of Official Language policy, Official Language Act, 1963 and Rules made thereunder, administrative directions in respect of use of Hindi in the Department.",https://doe.gov.in/hindi-section,,,,
Divisions,Hindi Section,Bullet Point,Hindi Section - Point 2,"Departmental Official Language Implementation Committee, Hindi Advisory Committee, Central Official Language Implementation Committee, Central Hindi Committee and matters related to other bodies in respect of use and propagation of Hindi, organizing Hindi workshops and matters related to inspection of Department of Expenditure by the Committee of Parliament on Official Language and action taken on suggestions of/ assurances to the Committee.",https://doe.gov.in/hindi-section,,,,
Divisions,Hindi Section,Bullet Point,Hindi Section - Point 3,"Matters related to various Hindi trainings such as Hindi Language, Hindi Typing/Hindi Stenography training.",https://doe.gov.in/hindi-section,,,,
Divisions,Hindi Section,Bullet Point,Hindi Section - Point 4,Matters related to attached/subordinate offices of the Department regarding progressive use of Hindi.,https://doe.gov.in/hindi-section,,,,
Divisions,Hindi Section,Bullet Point,Hindi Section - Point 5,Any matter related to coordination of Hindi in the various Divisions of the Department including letters received from Members of Parliament and Parliament Questions.,https://doe.gov.in/hindi-section,,,,
Divisions,Hindi Section,Bullet Point,Hindi Section - Point 6,Quarterly Progress Reports and Annual Assessment Report in respect of use of Hindi.,https://doe.gov.in/hindi-section,,,,
Divisions,Hindi Section,Bullet Point,Hindi Section - Point 7,Implementation of various incentive schemes to promote use of Hindi.,https://doe.gov.in/hindi-section,,,,
Divisions,Hindi Section,Bullet Point,Hindi Section - Point 8,Organizing various competitions on the occasion of Hindi Day/Fortnight and distribution of awards.,https://doe.gov.in/hindi-section,,,,
Divisions,Hindi Section,Bullet Point,Hindi Section - Point 9,"To reply letters received from applicants under RTI Act, 2005.",https://doe.gov.in/hindi-section,,,,
Divisions,Hindi Section,Bullet Point,Hindi Section - Point 10,Nomination of officers/employees for Hindi conferences/workshops organised by Non Government Organisations/Institutions.,https://doe.gov.in/hindi-section,,,,
Divisions,Hindi Section,Bullet Point,Hindi Section - Point 11,Translation from English to Hindi and vice versa.,https://doe.gov.in/hindi-section,,,,
Divisions,Hindi Section,Bullet Point,Hindi Section - Point 12,To monitor progress in achieving targets fixed in Annual Programme issued by the Department of Official Language,https://doe.gov.in/hindi-section,,,,
