section_type,section_name,element_type,title,content,url,image_url,pdf_url,local_image_path,local_pdf_path
Breadcrumb,Navigation Path,Breadcrumb,Home > Divisions > Personnel and Establishment Division > Parliament Cell,Home > Divisions > Personnel and Establishment Division > Parliament Cell,https://doe.gov.in/parliament-cell,,,,
Page Title,Main Heading,H1 Title,Parliament Cell,Parliament Cell,https://doe.gov.in/parliament-cell,,,,
Divisions,Parliament Cell,Section Heading,Parliament Cell,Parliament Cell,https://doe.gov.in/parliament-cell,,,,
Divisions,Parliament Cell,Bullet Point,Parliament Cell - Point 1,To coordinate Parliamentary work of Ministry of Finance as a whole,https://doe.gov.in/parliament-cell,,,,
Divisions,Parliament Cell,Bullet Point,Parliament Cell - Point 2,All matters relating to Committee on Subordinate Legislation Committee on Petitions Committee on Government Assurance and Consultative Committee Meetings,https://doe.gov.in/parliament-cell,,,,
Divisions,Parliament Cell,Bullet Point,Parliament Cell - Point 3,Preparation of Business Question Pads for Ministers Secretaries,https://doe.gov.in/parliament-cell,,,,
Divisions,Parliament Cell,Bullet Point,Parliament Cell - Point 4,All Parliamentary work of Department of Expenditure and Department of Economic Affairs.,https://doe.gov.in/parliament-cell,,,,
Divisions,Parliament Cell,Bullet Point,Parliament Cell - Point 5,To Coordinate Parliamentary work for the Ministry of Finance as a whole,https://doe.gov.in/parliament-cell,,,,
Divisions,Parliament Cell,Bullet Point,Parliament Cell - Point 6,Preparation of Business/Question Pads for Ministers/Secretaries,https://doe.gov.in/parliament-cell,,,,
Divisions,Parliament Cell,Bullet Point,Parliament Cell - Point 7,"All matters relating to Committee on Subordinate Legislation, Committee on Petitions, Committee on Government Assurances and consultative Committee Meetings",https://doe.gov.in/parliament-cell,,,,
