section_type,section_name,element_type,title,content,url,image_url,pdf_url,local_image_path,local_pdf_path
Breadcrumb,Navigation Path,Breadcrumb,Home > Divisions > Personnel and Establishment Division > R.T.I. & Legal,Home > Divisions > Personnel and Establishment Division > R.T.I. & Legal,https://doe.gov.in/rti-cell,,,,
Page Title,Main Heading,H1 Title,R.T.I. & Legal,R.T.I. & Legal,https://doe.gov.in/rti-cell,,,,
Divisions,R.T.I. Cell,Section Heading,R.T.I. Cell,R.T.I. Cell,https://doe.gov.in/rti-cell,,,,
Divisions,R.T.I. Cell,Bullet Point,R.T.I. Cell - Point 1,Coordinate with all Branches Sections Divisions under the Department of Expenditure for implementation of RTI Act 2005,https://doe.gov.in/rti-cell,,,,
Divisions,R.T.I. Cell,Bullet Point,R.T.I. Cell - Point 2,RTI Cell of Department of Expenditure designated as Nodal point for receiving RTI applications and Appeals physically as well as online and forwards it to the concerned CPIOs and First Appellate Authorities within the Department or to other public authorities as the case may be,https://doe.gov.in/rti-cell,,,,
Divisions,R.T.I. Cell,Bullet Point,R.T.I. Cell - Point 3,Coordinate with all Branches Sections Divisions under Department of Expenditure for Hearing Notices received from Central Information Commission on the matters relating to RTI Appeal & also implementation of CIC Orders thereto,https://doe.gov.in/rti-cell,,,,
Divisions,R.T.I. Cell,Bullet Point,R.T.I. Cell - Point 4,Issue of appointment order to designate as new CPIOs and First Appellate Authorities of all Branches Sections Divisions under Department of Expenditure,https://doe.gov.in/rti-cell,,,,
Divisions,R.T.I. Cell,Bullet Point,R.T.I. Cell - Point 5,Updation of CPIOs and First Appellate Authorities list of Department of Expenditure at regular intervals and update the same,https://doe.gov.in/rti-cell,,,,
Divisions,R.T.I. Cell,Bullet Point,R.T.I. Cell - Point 6,Compilation of quarterly returns of RTI applications Appeals and CIC Orders received from various Branches Sections Divisions under Department of Expenditure and hosted on the CIC Portal as per RTI Act 2005,https://doe.gov.in/rti-cell,,,,
Divisions,R.T.I. Cell,Bullet Point,R.T.I. Cell - Point 7,Coordination with Central Information Commission for conducting Third Party Audit in respect of Website of Department of Expenditure as per RTI Act 2005,https://doe.gov.in/rti-cell,,,,
Divisions,R.T.I. Cell,Bullet Point,R.T.I. Cell - Point 8,Any other work related to the RTI Act 2005,https://doe.gov.in/rti-cell,,,,
Divisions,Legal Cell,Section Heading,Legal Cell,Legal Cell,https://doe.gov.in/rti-cell,,,,
Divisions,Legal Cell,Bullet Point,Legal Cell - Point 1,Coordination of Legal matters and Court Cases received Online and Physical mode from Central Registry of Honorable Supreme Court of India and High Courts & Tribunals including other Ministries or Departments in the Legal Cell of Department of Expenditure,https://doe.gov.in/rti-cell,,,,
Divisions,Legal Cell,Bullet Point,Legal Cell - Point 2,Coordination of Legal matters Court Cases pertaining to various Branches of Department of Expenditure,https://doe.gov.in/rti-cell,,,,
Divisions,Legal Cell,Bullet Point,Legal Cell - Point 3,"Compilation of information on pending court cases on monthly basis wherein Department of Expenditure is one of the respondents and submit the status report for appraisal of Finance Secretary & Secretary, Expenditure",https://doe.gov.in/rti-cell,,,,
Divisions,Legal Cell,Bullet Point,Legal Cell - Point 4,Monitoring of Court Cases on the LIMBS Portal for the updated entries made in the LIMBS software by concerned Branches Sections Divisions of Department of Expenditure,https://doe.gov.in/rti-cell,,,,
Divisions,Legal Cell,Bullet Point,Legal Cell - Point 5,"Dealing with Parliament Questions and Assurances received from Department of Legal Affairs, DoLA on legal matters",https://doe.gov.in/rti-cell,,,,
Divisions,Legal Cell,Bullet Point,Legal Cell - Point 6,"Coordinate with Department of Legal Affairs ,DoLA in all matters relating to Legal Information Management Briefing System LIMBS platform",https://doe.gov.in/rti-cell,,,,
