section_type,section_name,sr_no,office_memorandum_no,title,date,pdf_label,pdf_size,pdf_url,local_pdf_path,page_url
Current,Procurement Policy/O.M,1,-,"Manual for Procurement of Non-Consultancy Services, 2025",18/08/2025,Download,4.15 MB,https://doe.gov.in/files/circulars_document/MfPoNCS_2025.pdf,pdfs/Current_sr1_MfPoNCS_2025.pdf,https://doe.gov.in/orders-circulars/459
Current,Procurement Policy/O.M,2,-,"Manual for Procurement of Consultancy Services (Second Edition, 2025)",18/08/2025,Download,4.49 MB,https://doe.gov.in/files/circulars_document/MfPoCS_2025.pdf,pdfs/Current_sr2_MfPoCS_2025.pdf,https://doe.gov.in/orders-circulars/459
Current,Procurement Policy/O.M,3,OM No. F.13/1/2025-PPD,"Training Programs on Public Procurement for Government officers at Arun Jaitley National Institute of Financial Management (AJNIFM), Faridabad.",25/04/2025,Download,2.86 MB,https://doe.gov.in/files/circulars_document/OM_25042025.pdf,pdfs/Current_sr3_OM_25042025.pdf,https://doe.gov.in/orders-circulars/459
Current,Procurement Policy/O.M,4,OM No. 1/4(3)/2023-PPD,"Seeking feedback from Stakeholders on Draft Manual for Procurement of Works, 2nd Edition",07/04/2025,Download,1.04 MB,https://doe.gov.in/files/circulars_document/OM_07042025.pdf,pdfs/Current_sr4_OM_07042025.pdf,https://doe.gov.in/orders-circulars/459
Current,Procurement Policy/O.M,5,OM No. F.13/1/2025-PPD(pt.),"Training Programs on Public Procurement at Administrative Staff College of lndia (ASCI), Hyderabad",25/03/2025,Download,1.16 MB,https://doe.gov.in/files/circulars_document/OM_25032025_0.pdf,pdfs/Current_sr5_OM_25032025_0.pdf,https://doe.gov.in/orders-circulars/459
Current,Procurement Policy/O.M,6,OM No. F.13/1/2025-PPD(pt.),Training Programs on Public Procurement at Indian Institute of Management Visakhapatnam (IIMV),25/03/2025,Download,1.92 MB,https://doe.gov.in/files/circulars_document/OM_25032025_.pdf,pdfs/Current_sr6_OM_25032025_.pdf,https://doe.gov.in/orders-circulars/459
Current,Procurement Policy/O.M,7,OM No. 4/1/2023-PPD,Relaxation under Rule 161(iv) of General Financial Rules 2017 for issuance of Global Tender Enquiry (GTE) for procurement of Medical Devices.,17/02/2025,Download,6.48 MB,https://doe.gov.in/files/circulars_document/OM17_02_2025.pdf,pdfs/Current_sr7_OM17_02_2025.pdf,https://doe.gov.in/orders-circulars/459
Current,Procurement Policy/O.M,8,OM No. 4/1/2023-PPD(pt.),Relaxation under Rule 161(iv) of General Financial Rules (GFRs) 2017 for issuance of Global Tender Inquiry (GTE) for procurement of Drugs.,15/01/2025,Download,2.43 MB,https://doe.gov.in/files/circulars_document/OM_15012025.pdf,pdfs/Current_sr8_OM_15012025.pdf,https://doe.gov.in/orders-circulars/459
Current,Procurement Policy/O.M,9,-,"Manual for Procurement of Goods - Second Edition, 2024",16/08/2024,Download,5.15 MB,https://doe.gov.in/files/circulars_document/Manual_Goods_2024.pdf,pdfs/Current_sr9_Manual_Goods_2024.pdf,https://doe.gov.in/orders-circulars/459
Current,Procurement Policy/O.M,10,No.F.4/1/2023-PPD(pt.),Relaxation under Rule 161(iv) of General Financial Rules 2017 for issuance of Global Tender Enquiry (GTE) for procurement of 127 Drugs,09/08/2024,Download,1.85 MB,https://doe.gov.in/files/circulars_document/OM_09082024.pdf,pdfs/Current_sr10_OM_09082024.pdf,https://doe.gov.in/orders-circulars/459
