section_type,section_name,element_type,title,content,url,image_url,pdf_url,local_image_path,local_pdf_path
Breadcrumb,Navigation Path,Breadcrumb,Home > Divisions > Public Finance (States) > PFMS,Home > Divisions > Public Finance (States) > PFMS,https://doe.gov.in/pfms,,,,
Page Title,Main Heading,H1 Title,PFMS,PFMS,https://doe.gov.in/pfms,,,,
Divisions,PFMS,H3 Section Heading,Public Financial Management System,Public Financial Management System,https://doe.gov.in/pfms,,,,
Divisions,PFMS,Paragraph,Paragraph 1,Single Nodal Agency (SNA) Model for flow and monitoring of CSS funds,https://doe.gov.in/pfms,,,,
Divisions,PFMS,Paragraph,Paragraph 2,"To reduce float outside Consolidated fund of India (CFI) and to monitor flow and utilization of funds under the Centrally Sponsored Schemes (CSS), a new procedure for flow of funds under CSS was notified by the Department of Expenditure, Ministry of Finance on 23rd March, 2021. Under the new procedure, each CSS is to be implemented by a Single Nodal Agency (SNA) having a Single Nodal Account in a scheduled commercial bank. The down the line Implementing Agencies (IAs) use Zero Balance Accounts to draw funds from the SNA account.",https://doe.gov.in/pfms,,,,
Divisions,PFMS,Paragraph,Paragraph 3,For further information please visit https://doe.gov.in/sna,https://doe.gov.in/pfms,,,,
Divisions,PFMS,Link,https://doe.gov.in/sna,https://doe.gov.in/orders-circulars/461,https://doe.gov.in/pfms,,,,
Divisions,PFMS,Paragraph,Paragraph 4,Central Nodal Agency (CNA) Model for flow & monitoring of Central Sector Schemes fund,https://doe.gov.in/pfms,,,,
Divisions,PFMS,Paragraph,Paragraph 5,"To reduce float outside Consolidated fund of India (CFI) and to monitor flow and utilization of funds under the Central Sector (CS) Schemes, a new procedure for flow of funds under CS was notified by the Department of Expenditure, Ministry of Finance on 9th March, 2022. Under the new procedure, each CS is to be implemented by a Central Nodal Agency (CNA) having a Central Nodal Account.",https://doe.gov.in/pfms,,,,
Divisions,PFMS,Paragraph,Paragraph 6,For further information please visit https://doe.gov.in/cna,https://doe.gov.in/pfms,,,,
Divisions,PFMS,Link,https://doe.gov.in/cna,https://doe.gov.in/orders-circulars/460,https://doe.gov.in/pfms,,,,
