section_type,section_name,element_type,title,content,url,pdf_url,local_pdf_path
Table,Main Section,Row,BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2011-12,11 | BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2011-12 | Download (167.06 KB),https://doe.gov.in/annual-report-pay-and-allowances?page=1,https://doe.gov.in/files/annual_reports_documents/brochure2010-11_0.pdf,pdfs/brochure2010-11_0.pdf
Table,Main Section,Row,BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2010-11,12 | BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2010-11 | Download (167.06 KB),https://doe.gov.in/annual-report-pay-and-allowances?page=1,https://doe.gov.in/files/annual_reports_documents/brochure2010-11.pdf,pdfs/brochure2010-11.pdf
Table,Main Section,Row,BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2009-10,13 | BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2009-10 | Download (583.43 KB),https://doe.gov.in/annual-report-pay-and-allowances?page=1,https://doe.gov.in/files/annual_reports_documents/brochure2009-10.pdf,pdfs/brochure2009-10.pdf
Table,Main Section,Row,BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2008-09,14 | BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2008-09 | Download (310.32 KB),https://doe.gov.in/annual-report-pay-and-allowances?page=1,https://doe.gov.in/files/annual_reports_documents/brochure2008-09.pdf,pdfs/brochure2008-09.pdf
Table,Main Section,Row,BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2007-08,15 | BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2007-08 | Download (712.91 KB),https://doe.gov.in/annual-report-pay-and-allowances?page=1,https://doe.gov.in/files/annual_reports_documents/brochure2007-08.pdf,pdfs/brochure2007-08.pdf
Table,Main Section,Row,BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2006-07,16 | BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2006-07 | Download (619.14 KB),https://doe.gov.in/annual-report-pay-and-allowances?page=1,https://doe.gov.in/files/annual_reports_documents/brochure2006-07_2.pdf,pdfs/brochure2006-07_2.pdf
Table,Main Section,Row,BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2006-07,17 | BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2006-07 | Download (619.14 KB),https://doe.gov.in/annual-report-pay-and-allowances?page=1,https://doe.gov.in/files/annual_reports_documents/brochure2006-07_1.pdf,pdfs/brochure2006-07_1.pdf
Table,Main Section,Row,BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2006-07,18 | BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2006-07 | Download (619.14 KB),https://doe.gov.in/annual-report-pay-and-allowances?page=1,https://doe.gov.in/files/annual_reports_documents/brochure2006-07_0.pdf,pdfs/brochure2006-07_0.pdf
Table,Main Section,Row,BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2006-07,19 | BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2006-07 | Download (619.14 KB),https://doe.gov.in/annual-report-pay-and-allowances?page=1,https://doe.gov.in/files/annual_reports_documents/brochure2006-07.pdf,pdfs/brochure2006-07.pdf
Table,Main Section,Row,BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2005-06,20 | BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2005-06 | Download (282.28 KB),https://doe.gov.in/annual-report-pay-and-allowances?page=1,https://doe.gov.in/files/annual_reports_documents/brochure2005-06.pdf,pdfs/brochure2005-06.pdf
Table,Main Section,Row,BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2004-05,21 | BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2004-05 | Download (556.77 KB),https://doe.gov.in/annual-report-pay-and-allowances?page=2,https://doe.gov.in/files/annual_reports_documents/brochure2004-05.pdf,pdfs/brochure2004-05.pdf
Table,Main Section,Row,BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2003-04,22 | BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2003-04 | Download (559.56 KB),https://doe.gov.in/annual-report-pay-and-allowances?page=2,https://doe.gov.in/files/annual_reports_documents/brochure2003-04.pdf,pdfs/brochure2003-04.pdf
Table,Main Section,Row,BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2002-03,23 | BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2002-03 | Download (524.06 KB),https://doe.gov.in/annual-report-pay-and-allowances?page=2,https://doe.gov.in/files/annual_reports_documents/brochure2002-03.pdf,pdfs/brochure2002-03.pdf
Table,Main Section,Row,BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2001-02,24 | BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2001-02 | Download (947.61 KB),https://doe.gov.in/annual-report-pay-and-allowances?page=2,https://doe.gov.in/files/annual_reports_documents/brochure2001-02.pdf,pdfs/brochure2001-02.pdf
Table,Main Section,Row,BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2000-01,25 | BROCHURE on PAY & ALLOWANCES FOR THE YEAR 2000-01 | Download (93.66 KB),https://doe.gov.in/annual-report-pay-and-allowances?page=2,https://doe.gov.in/files/annual_reports_documents/brochure2000_01.pdf,pdfs/brochure2000_01.pdf
Table,Archive Section,Row,Annual Report on Pay and Allowances for the Year 2021-22,1 | Annual Report on Pay and Allowances for the Year 2021-22 | Download (6.67 MB),https://doe.gov.in/archive/annual-report-pay-and-allowances,https://doe.gov.in/files/annual_reports_documents/Annual_Report_2021_22.pdf,pdfs/Annual_Report_2021_22.pdf
