section_type,section_name,element_type,title,content,url,pdf_url,local_pdf_path
Table,Main Section,Row,Detailed Demands for Grants 2008-2009,1 | Detailed Demands for Grants 2008-2009 | - | Download (1.74 MB),https://doe.gov.in/detailed-demands-for-grants,https://doe.gov.in/files/detailed-demands-documents/detaildg200809_comp.pdf,pdfs/detaildg200809_comp.pdf
Table,Main Section,Row,Detailed Demands for Grants 2021-2022,2 | Detailed Demands for Grants 2021-2022 | 16/02/2023 | Download (4.06 MB),https://doe.gov.in/detailed-demands-for-grants,https://doe.gov.in/files/detailed-demands-documents/DDG%202021-22.pdf,pdfs/DDG%202021-22.pdf
Table,Main Section,Row,Detailed Demands for Grants 2020-2021,3 | Detailed Demands for Grants 2020-2021 | - | Download (3.18 MB),https://doe.gov.in/detailed-demands-for-grants,https://doe.gov.in/files/detailed-demands-documents/DDG%202020-21.pdf,pdfs/DDG%202020-21.pdf
Table,Main Section,Row,Detailed Demands for Grants 2019-2020,4 | Detailed Demands for Grants 2019-2020 | - | Download (3.07 MB),https://doe.gov.in/detailed-demands-for-grants,https://doe.gov.in/files/detailed-demands-documents/DDG%202019-20_0.pdf,pdfs/DDG%202019-20_0.pdf
Table,Main Section,Row,Detailed Demands for Grants 2018-2019,5 | Detailed Demands for Grants 2018-2019 | 16/02/2018 | Download (3.57 MB),https://doe.gov.in/detailed-demands-for-grants,https://doe.gov.in/files/detailed-demands-documents/DDG2018-19.pdf,pdfs/DDG2018-19.pdf
Table,Main Section,Row,Detailed Demands for Grants 2006-2007,6 | Detailed Demands for Grants 2006-2007 | - | Download (2.43 MB),https://doe.gov.in/detailed-demands-for-grants,https://doe.gov.in/files/detailed-demands-documents/detaildg200607.pdf,pdfs/detaildg200607.pdf
Table,Main Section,Row,Detailed Demands for Grants 2007-2008,7 | Detailed Demands for Grants 2007-2008 | - | Download (4.57 MB),https://doe.gov.in/detailed-demands-for-grants,https://doe.gov.in/files/detailed-demands-documents/detaildg200708.pdf,pdfs/detaildg200708.pdf
Table,Archive Section,Row,Detailed Demands for Grants 2010-2011,1 | Detailed Demands for Grants 2010-2011 | 22/03/2010 | Download (1.78 MB),https://doe.gov.in/archive/detailed-demands-for-grants,https://doe.gov.in/files/detailed-demands-documents/detaildg220310_comp.pdf,pdfs/detaildg220310_comp.pdf
Table,Archive Section,Row,"Detailed Demands for Grants pertaining to Misc. Departments (DoE) published by IFU, MD Branch for 2008-2009","2 | Detailed Demands for Grants pertaining to Misc. Departments (DoE) published by IFU, MD Branch for 2008-2009 | 14/08/2008 | Download (1.89 MB)",https://doe.gov.in/archive/detailed-demands-for-grants,https://doe.gov.in/files/detailed-demands-documents/DG_MD200809.pdf,pdfs/DG_MD200809.pdf
Table,Archive Section,Row,Detailed Demands for Grants 2009-2010,3 | Detailed Demands for Grants 2009-2010 | 15/07/2009 | Download (7.31 MB),https://doe.gov.in/archive/detailed-demands-for-grants,https://doe.gov.in/files/detailed-demands-documents/detaildg200910.pdf,pdfs/detaildg200910.pdf
Table,Archive Section,Row,Detailed Demands for Grants 2011-2012,4 | Detailed Demands for Grants 2011-2012 | 17/03/2011 | Download (2.3 MB),https://doe.gov.in/archive/detailed-demands-for-grants,https://doe.gov.in/files/detailed-demands-documents/detaildg170311.pdf,pdfs/detaildg170311.pdf
Table,Archive Section,Row,Detailed Demands for Grants 2012-2013,5 | Detailed Demands for Grants 2012-2013 | 27/03/2012 | Download (1.55 MB),https://doe.gov.in/archive/detailed-demands-for-grants,https://doe.gov.in/files/detailed-demands-documents/detaildg270312.pdf,pdfs/detaildg270312.pdf
Table,Archive Section,Row,Detailed Demands for Grants 2013-2014,6 | Detailed Demands for Grants 2013-2014 | 21/03/2013 | Download (2.33 MB),https://doe.gov.in/archive/detailed-demands-for-grants,https://doe.gov.in/files/detailed-demands-documents/detaildg210313.pdf,pdfs/detaildg210313.pdf
Table,Archive Section,Row,Detailed Demands for Grants 2014-2015,7 | Detailed Demands for Grants 2014-2015 | 22/07/2014 | Download (3.06 MB),https://doe.gov.in/archive/detailed-demands-for-grants,https://doe.gov.in/files/detailed-demands-documents/detaildg20142015.pdf,pdfs/detaildg20142015.pdf
Table,Archive Section,Row,Detailed Demands for Grants 2015-2016,8 | Detailed Demands for Grants 2015-2016 | 17/03/2015 | Download (3.08 MB),https://doe.gov.in/archive/detailed-demands-for-grants,https://doe.gov.in/files/detailed-demands-documents/detaildg20152016.pdf,pdfs/detaildg20152016.pdf
Table,Archive Section,Row,Detailed Demands for Grants 2016-2017,9 | Detailed Demands for Grants 2016-2017 | 14/03/2016 | Download (3.04 MB),https://doe.gov.in/archive/detailed-demands-for-grants,https://doe.gov.in/files/detailed-demands-documents/detaildg20162017.pdf,pdfs/detaildg20162017.pdf
