Sr.No,Title,Date,Download,pdf_url,local_pdf_path,section_name,url
11,"Monthly Summary Report of Department of Expenditure for the month of November, 2023",14/11/2023,Download (128.55 KB),https://doe.gov.in/files/monthly-summary-report-document/MonthlySummaryReportofDoEforNovember2023.pdf,pdfs/MonthlySummaryReportofDoEforNovember2023.pdf,Main Section,https://doe.gov.in/monthly-summary-report?page=1
12,"Monthly Summary Report of Department of Expenditure for the month of October, 2023",10/10/2023,Download (127.49 KB),https://doe.gov.in/files/monthly-summary-report-document/MonthlySummaryReportofDoEforOctober2023.pdf,pdfs/MonthlySummaryReportofDoEforOctober2023.pdf,Main Section,https://doe.gov.in/monthly-summary-report?page=1
13,"Monthly Summary Report of Department of Expenditure for the month of September, 2023",11/09/2023,Download (97.73 KB),https://doe.gov.in/files/monthly-summary-report-document/MonthlySummaryReportofDoEforSeptember2023.pdf,pdfs/MonthlySummaryReportofDoEforSeptember2023.pdf,Main Section,https://doe.gov.in/monthly-summary-report?page=1
14,"Monthly Summary Report of Department of Expenditure for the month of August, 2023",10/08/2023,Download (101.29 KB),https://doe.gov.in/files/monthly-summary-report-document/MonthlySummaryReportofDoEforAugust2023.pdf,pdfs/MonthlySummaryReportofDoEforAugust2023.pdf,Main Section,https://doe.gov.in/monthly-summary-report?page=1
15,"Monthly Summary Report of Department of Expenditure for the month of July, 2023",10/07/2023,Download (104.06 KB),https://doe.gov.in/files/monthly-summary-report-document/Monthly_Sumary_Report_of_DoE_for_July_2023.pdf,pdfs/Monthly_Sumary_Report_of_DoE_for_July_2023.pdf,Main Section,https://doe.gov.in/monthly-summary-report?page=1
16,"Monthly Summary Report of Department of Expenditure for June, 2023",10/06/2023,Download (128.09 KB),https://doe.gov.in/files/monthly-summary-report-document/Monthly_Summary_Report_of_DoE_for_June2023.pdf,pdfs/Monthly_Summary_Report_of_DoE_for_June2023.pdf,Main Section,https://doe.gov.in/monthly-summary-report?page=1
17,"Monthly Summary Report of Department of Expenditure for the month of May,2023",12/06/2023,Download (114.46 KB),https://doe.gov.in/files/monthly-summary-report-document/Monthly_Summary_Report_of_May_2023.pdf,pdfs/Monthly_Summary_Report_of_May_2023.pdf,Main Section,https://doe.gov.in/monthly-summary-report?page=1
18,"Monthly Summary Report of Department of Expenditure for April,2023",10/05/2023,Download (99.05 KB),https://doe.gov.in/files/monthly-summary-report-document/Monthly_Summary_Report_of_DoE_for_April_2023.pdf,pdfs/Monthly_Summary_Report_of_DoE_for_April_2023.pdf,Main Section,https://doe.gov.in/monthly-summary-report?page=1
19,"Monthly Summary Report of Department of Expenditure for the month of March,2023",11/04/2023,Download (133.93 KB),https://doe.gov.in/files/monthly-summary-report-document/Monthly_Summary_Report_of_DoE_for_the_month_of_March_2023.pdf,pdfs/Monthly_Summary_Report_of_DoE_for_the_month_of_March_2023.pdf,Main Section,https://doe.gov.in/monthly-summary-report?page=1
20,"Monthly Summary Report of Department of Expenditure for February,2023",15/03/2023,Download (246.92 KB),https://doe.gov.in/files/monthly-summary-report-document/Monthly_Summary_Report_of_DoE_for_the_month_of_February_2023.pdf,pdfs/Monthly_Summary_Report_of_DoE_for_the_month_of_February_2023.pdf,Main Section,https://doe.gov.in/monthly-summary-report?page=1
21,"Monthly Summary Report of Department of Expenditure for the month of January,2023",14/02/2023,Download (140.62 KB),https://doe.gov.in/files/monthly-summary-report-document/Monthly_Summary_Report_of_DoE_for_themonth_of_January_2023.pdf,pdfs/Monthly_Summary_Report_of_DoE_for_themonth_of_January_2023.pdf,Main Section,https://doe.gov.in/monthly-summary-report?page=2
22,"Monthly Summary Report of Department of Expenditure for the month of December,2022",10/01/2023,Download (151.4 KB),https://doe.gov.in/files/monthly-summary-report-document/Monthly_Summary_Report_of_DoE_for_month_of_December_2022.pdf,pdfs/Monthly_Summary_Report_of_DoE_for_month_of_December_2022.pdf,Main Section,https://doe.gov.in/monthly-summary-report?page=2
