section_type,section_name,element_type,title,content,url,pdf_url,local_pdf_path
Table,Main Section,Row,Outcome Budget 2018-2019,Sr. No.: 1 | Title: Outcome Budget 2018-2019 | Date: 23/02/2018 | Download: Download (2.1 MB),https://doe.gov.in/outcome-budget,https://doe.gov.in/files/outcome-budget-document/OutcomeBudgetE2018_2019.pdf,pdfs/OutcomeBudgetE2018_2019.pdf
Table,Main Section,Row,Outcome Budget 2016-2017,Sr. No.: 2 | Title: Outcome Budget 2016-2017 | Date: 11/03/2016 | Download: Download (2.47 MB),https://doe.gov.in/outcome-budget,https://doe.gov.in/files/outcome-budget-document/OutcomeBudget2016_17.pdf,pdfs/OutcomeBudget2016_17.pdf
Table,Main Section,Row,Outcome Budget 2015-2016,Sr. No.: 3 | Title: Outcome Budget 2015-2016 | Date: 16/03/2015 | Download: Download (2.27 MB),https://doe.gov.in/outcome-budget,https://doe.gov.in/files/outcome-budget-document/OutcomeBudget2015_16.pdf,pdfs/OutcomeBudget2015_16.pdf
Table,Main Section,Row,Outcome Budget 2014-2015,Sr. No.: 4 | Title: Outcome Budget 2014-2015 | Date: 18/07/2014 | Download: Download (2.86 MB),https://doe.gov.in/outcome-budget,https://doe.gov.in/files/outcome-budget-document/OutcomeBudget2014_15.pdf,pdfs/OutcomeBudget2014_15.pdf
Table,Main Section,Row,Outcome Budget 2013-2014,Sr. No.: 5 | Title: Outcome Budget 2013-2014 | Date: 18/03/2013 | Download: Download (2.23 MB),https://doe.gov.in/outcome-budget,https://doe.gov.in/files/outcome-budget-document/OutcomeBudget2013_14.pdf,pdfs/OutcomeBudget2013_14.pdf
Table,Main Section,Row,Outcome Budget 2012-2013 of the Flagship Programmes,Sr. No.: 6 | Title: Outcome Budget 2012-2013 of the Flagship Programmes | Date: 28/03/2012 | Download: Download (588 KB),https://doe.gov.in/outcome-budget,https://doe.gov.in/files/outcome-budget-document/OutcomeBudget2012-2013_Flagship_0.pdf,pdfs/OutcomeBudget2012-2013_Flagship_0.pdf
Table,Main Section,Row,Outcome Budget 2012-2013,Sr. No.: 7 | Title: Outcome Budget 2012-2013 | Date: 22/03/2012 | Download: Download (2.49 MB),https://doe.gov.in/outcome-budget,https://doe.gov.in/files/outcome-budget-document/OutcomeBudget2012_13.pdf,pdfs/OutcomeBudget2012_13.pdf
Table,Main Section,Row,Outcome Budget 2011-2012,Sr. No.: 8 | Title: Outcome Budget 2011-2012 | Date: 28/02/2011 | Download: Download (966.1 KB),https://doe.gov.in/outcome-budget,https://doe.gov.in/files/outcome-budget-document/Outcome_Budget2011_12.pdf,pdfs/Outcome_Budget2011_12.pdf
Table,Main Section,Row,Outcome Budget 2010-2011,Sr. No.: 9 | Title: Outcome Budget 2010-2011 | Date: 20/02/2017 | Download: -,https://doe.gov.in/outcome-budget,,
Table,Main Section,Row,Outcome Budget 2009-2010,Sr. No.: 10 | Title: Outcome Budget 2009-2010 | Date: - | Download: -,https://doe.gov.in/outcome-budget,,
Table,Main Section,Row,Outcome Budget 2008-2009,Sr. No.: 11 | Title: Outcome Budget 2008-2009 | Date: - | Download: -,https://doe.gov.in/outcome-budget?page=1,,
Table,Main Section,Row,Outcome Budget 2007-2008,Sr. No.: 12 | Title: Outcome Budget 2007-2008 | Date: - | Download: -,https://doe.gov.in/outcome-budget?page=1,,
Table,Main Section,Row,Outcome Budget 2006-2007,Sr. No.: 13 | Title: Outcome Budget 2006-2007 | Date: - | Download: -,https://doe.gov.in/outcome-budget?page=1,,
Table,Main Section,Row,Outcome Budget 2005-06,Sr. No.: 14 | Title: Outcome Budget 2005-06 | Date: - | Download: -,https://doe.gov.in/outcome-budget?page=1,,
