section_type,section_name,element_type,title,content,url,pdf_url,local_pdf_path
Table,Active Manuals,Row,"Manual for Procurement of Non-Consultancy Services, 2025","Sr. No.: 1 | Title: Manual for Procurement of Non-Consultancy Services, 2025 | Date: 18/08/2025 | Download: Download (4.15 MB)",https://doe.gov.in/manuals,https://doe.gov.in/files/manuals_documents/MfPoNCS2025.pdf,pdfs/MfPoNCS2025.pdf
Table,Active Manuals,Row,"Manual for Procurement of Consultancy Services (Second Edition, 2025)","Sr. No.: 2 | Title: Manual for Procurement of Consultancy Services (Second Edition, 2025) | Date: 18/08/2025 | Download: Download (4.49 MB)",https://doe.gov.in/manuals,https://doe.gov.in/files/manuals_documents/CS2025.pdf,pdfs/CS2025.pdf
Table,Active Manuals,Row,"Manual for Procurement of Goods - Second Edition, 2024","Sr. No.: 3 | Title: Manual for Procurement of Goods - Second Edition, 2024 | Date: 16/08/2024 | Download: Download (5.15 MB)",https://doe.gov.in/manuals,https://doe.gov.in/files/manuals_documents/Goods.pdf,pdfs/Goods.pdf
Table,Active Manuals,Row,"Manual for Procurement of Works (Updated June, 2022)","Sr. No.: 4 | Title: Manual for Procurement of Works (Updated June, 2022) | Date: 01/07/2022 | Download: Download (4.03 MB)",https://doe.gov.in/manuals,https://doe.gov.in/files/manuals_documents/Manual_for_Procurement_of_Works_Updated%20June%2C%202022_1.pdf,pdfs/Manual_for_Procurement_of_Works_Updated%20June%2C%202022_1.pdf
Table,Active Manuals,Row,"Manual for Procurement of Consultancy & Other Services (Updated June, 2022)","Sr. No.: 5 | Title: Manual for Procurement of Consultancy & Other Services (Updated June, 2022) | Date: 01/07/2022 | Download: Download (4.26 MB)",https://doe.gov.in/manuals,https://doe.gov.in/files/manuals_documents/Manual_for_Procurement_of_Consultancy_%26_Other_Services_Updated%20June%2C%202022_1.pdf,pdfs/Manual_for_Procurement_of_Consultancy_%26_Other_Services_Updated%20June%2C%202022_1.pdf
Table,Active Manuals,Row,"Manual for Procurement of Goods (Updated June, 2022)","Sr. No.: 6 | Title: Manual for Procurement of Goods (Updated June, 2022) | Date: 01/07/2022 | Download: Download (5.13 MB)",https://doe.gov.in/manuals,https://doe.gov.in/files/manuals_documents/Manual_for_Procurement_of_Goods_Updated%20June%2C%202022_1.pdf,pdfs/Manual_for_Procurement_of_Goods_Updated%20June%2C%202022_1.pdf
Table,Active Manuals,Row,"Manual for Procurement of Works (Updated June, 2022)","Sr. No.: 7 | Title: Manual for Procurement of Works (Updated June, 2022) | Date: 01/07/2022 | Download: Download (4.03 MB)",https://doe.gov.in/manuals,https://doe.gov.in/files/manuals_documents/Manual_for_Procurement_of_Works_Updated%20June%2C%202022.pdf,pdfs/Manual_for_Procurement_of_Works_Updated%20June%2C%202022.pdf
Table,Active Manuals,Row,"Manual for Procurement of Consultancy & Other Services (Updated June, 2022)","Sr. No.: 8 | Title: Manual for Procurement of Consultancy & Other Services (Updated June, 2022) | Date: 01/07/2022 | Download: Download (4.26 MB)",https://doe.gov.in/manuals,https://doe.gov.in/files/manuals_documents/Manual_for_Procurement_of_Consultancy_%26_Other_Services_Updated%20June%2C%202022.pdf,pdfs/Manual_for_Procurement_of_Consultancy_%26_Other_Services_Updated%20June%2C%202022.pdf
Table,Active Manuals,Row,"Manual for Procurement of Goods (Updated June, 2022)","Sr. No.: 9 | Title: Manual for Procurement of Goods (Updated June, 2022) | Date: 01/07/2022 | Download: Download (5.13 MB)",https://doe.gov.in/manuals,https://doe.gov.in/files/manuals_documents/Manual_for_Procurement_of_Goods_Updated%20June%2C%202022.pdf,pdfs/Manual_for_Procurement_of_Goods_Updated%20June%2C%202022.pdf
Table,Active Manuals,Row,Manual for procurement of Works 2019,Sr. No.: 10 | Title: Manual for procurement of Works 2019 | Date: 03/07/2019 | Download: Download (4.17 MB),https://doe.gov.in/manuals,https://doe.gov.in/files/manuals_documents/Manual_for_Procurement_of_works_2019.pdf,pdfs/Manual_for_Procurement_of_works_2019.pdf
Table,Active Manuals,Row,Manual for Procurement of Consultancy and Other Services 2017 (Hindi Version),Sr. No.: 11 | Title: Manual for Procurement of Consultancy and Other Services 2017 (Hindi Version) | Date: 18/04/2017 | Download: Download (3.28 MB),https://doe.gov.in/manuals?page=1,https://doe.gov.in/files/manuals_documents/Manual_for_Procurement_of_Consultancy_and_other_Services_Hindi%20version.pdf,pdfs/Manual_for_Procurement_of_Consultancy_and_other_Services_Hindi%20version.pdf
