section_type,section_name,element_type,title,content,url,pdf_url,local_pdf_path
Table,RTI Table Section,Row,CPIO/FAA Order dated 07.08.2025,Sr. No.: 1 | Title: CPIO/FAA Order dated 07.08.2025 | Date: 22/08/2025 | Download: Download (488.23 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure,https://doe.gov.in/files/rti_services_documents/CPIO_Order_dated_07_08_2025.pdf,pdfs/CPIO_Order_dated_07_08_2025.pdf
Table,RTI Table Section,Row,OFF BUDGET BORROWING DECLARED BY STATE COVERNMENTS,Sr. No.: 2 | Title: OFF BUDGET BORROWING DECLARED BY STATE COVERNMENTS | Date: 23/06/2025 | Download: Download (99.33 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure,https://doe.gov.in/files/rti_services_documents/OBB_23_06_2025.pdf,pdfs/OBB_23_06_2025.pdf
Table,RTI Table Section,Row,OFF BUDGET BORROWING DECLARED BY STATE COVERNMENTS,Sr. No.: 3 | Title: OFF BUDGET BORROWING DECLARED BY STATE COVERNMENTS | Date: 03/06/2023 | Download: Download (576.01 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure,https://doe.gov.in/files/rti_services_documents/OBB_030624_1.pdf,pdfs/OBB_030624_1.pdf
Table,RTI Table Section,Row,CPIO/FAA Order dated 13.04.2023,Sr. No.: 4 | Title: CPIO/FAA Order dated 13.04.2023 | Date: 21/04/2023 | Download: Download (277.82 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure,https://doe.gov.in/files/rti_services_documents/CPIO_Order_dated_13_04_2023_1.pdf,pdfs/CPIO_Order_dated_13_04_2023_1.pdf
Table,RTI Table Section,Row,CPIO/FAA Order dated 12.04.2023,Sr. No.: 5 | Title: CPIO/FAA Order dated 12.04.2023 | Date: 21/04/2023 | Download: Download (577.03 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure,https://doe.gov.in/files/rti_services_documents/CPIO_Order_dated_12_04_2023_1.pdf,pdfs/CPIO_Order_dated_12_04_2023_1.pdf
Table,RTI Table Section,Row,CPIO/FAA Order dated 05.04.2023,Sr. No.: 6 | Title: CPIO/FAA Order dated 05.04.2023 | Date: 21/04/2023 | Download: Download (547.13 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure,https://doe.gov.in/files/rti_services_documents/CPIO_Order_dated_05_04_2023_1.pdf,pdfs/CPIO_Order_dated_05_04_2023_1.pdf
Table,RTI Table Section,Row,CPIO/FAA Order dated 13.03.2023,Sr. No.: 7 | Title: CPIO/FAA Order dated 13.03.2023 | Date: 21/04/2023 | Download: Download (311.1 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure,https://doe.gov.in/files/rti_services_documents/CPIO_Order_dated_13_03_2023.pdf,pdfs/CPIO_Order_dated_13_03_2023.pdf
Table,RTI Table Section,Row,CPIO/FAA Order dated 28.02.2023,Sr. No.: 8 | Title: CPIO/FAA Order dated 28.02.2023 | Date: 21/04/2023 | Download: Download (352.82 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure,https://doe.gov.in/files/rti_services_documents/CPIO_Order_dated_28_02_2023.pdf,pdfs/CPIO_Order_dated_28_02_2023.pdf
Table,RTI Table Section,Row,CPIO Order dated 08.02.2023,Sr. No.: 9 | Title: CPIO Order dated 08.02.2023 | Date: 09/02/2023 | Download: Download (373.2 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure,https://doe.gov.in/files/rti_services_documents/CPIO_Order_dated_08_02_2023.pdf,pdfs/CPIO_Order_dated_08_02_2023.pdf
Table,RTI Table Section,Row,"RTI Act, 2005 (English & Hindi)","Sr. No.: 10 | Title: RTI Act, 2005 (English & Hindi) | Date: 03/02/2023 | Download: Download (1.19 MB) | Hyperlink: -",https://doe.gov.in/rti-information-department-of-expenditure,https://doe.gov.in/files/rti_services_documents/RTI_Act_2005_English_Hindi.pdf,pdfs/RTI_Act_2005_English_Hindi.pdf
